Name,Age restrictions:,Project/Program Description,Address,Website,Zip Code,Category 1,Category 2,Category 3
King County Parks,14,"Our mission is to steward, enhance and acquire parks to inspire healthy communities. Today, our system consists of more than 180 parks, 175 miles of regional trails, and 130 miles of backcountry trails. From regional treasures such as Marymoor Park and Cougar Mountain Regional Wildland Park to amenities such as athletic fields, regional trails, and pools, there is something for everyone in King County Parks. King County Parks and Recreation oversees and maintains the parks in King County which include several award winning parks.","201 S. Jackson St., # 700, Seattle, WA 98104",http://www.kingcounty.gov/recreation/parks/volunteer.aspx,98104,Environment,,
Mercer Island Parks and Recreation,13,"The mission of the City of Mercer Island Parks and Recreation Department Volunteer Program is to actively promote a mutually rewarding relationship between volunteers who offer their talents, skills and time and staff who will support them in their efforts to cooperatively foster stewardship of our community's parks, natural area, and recreation and social programs. Serves the MI public in a number of different ways--ranging from taking care of little kids to tutoring to helping maintain open park spaces. Each year, citizens donate hundreds of hours of their time to maintain our parks and open spaces - picking up litter, cutting ivy from trees, painting over graffiti, or repairing trails. There are dozens of opportunities each year listed in the City Calendar","9611 SE 36th Street, Mercer Island, Washington 98040",http://www.mercergov.org/Page.asp?NavID=2719,98040,Environment,K-12 Education,Sports
Mountains to Sound Greenway Trust,9,"The Mountains to Sound Greenway Trust leads and inspires action to conserve and enhance the landscape from Seattle across the Cascade Mountains to Central Washington, ensuring a long-term balance between people and nature. Protects the land around the I-90 coridor from the foothills of the Cascade Mountains near Cle Elum, across Snoqualmie Pass and to the Shores of Puget Sound. The Greenway protects and enhances the scenic beauty and creates trails along I-90. They bring together technical experts and citzens who live, work, or travel in the greenway corridor. Their five year action plan includes plans to identify and protect critical environmental areas, facilitate public acquisition and preservation of critical lands, create a linked network of non-motorized trails, protect and enhance public and private forestry and agriculture, and incorporating Greenway vision elements into the WSDOT I-90 Master Plan, among many other things.","2701 First Avenue, Suite 240, Seattle, WA 98121",http://mtsgreenway.org/volunteer,98121,Environment,,
National Parks Service - North Cascades National Park,14,"The National Park Service preserves unimpaired the natural and cultural resources and values of the national park system for the enjoyment, education, and inspiration of this and future generations. The Park Service cooperates with partners to extend the benefits of natural and cultural resource conservation and outdoor recreation throughout this country and the world.","7280 Ranger Station Road, Marblemount, WA 98267",http://www.nps.gov/noca/index.htm,98267,Environment,K-12 Education,
National Ski Patrol,15,"The National Ski Patrol is a member-driven professional organization of registered ski patrols, patrollers and others, both paid and volunteer. The NSP supports its members through credentialed education and training in leadership, outdoor emergency care, safety and transportation services, which enables members to serve the community in the safe enjoyment of outdoor recreation. he National Ski Patrol seeks to ensure a safe environment for all skiers and snowboarders on the mountain. National Ski Patrol members have a strong desire to help others, learn emergency care techniques, improve their skiing and snowboarding skills, and enhance the safety and enjoyment of snow sports for all. NSP members and patrol candidates must be 15 years of age to qualify as Young Adult patrollers. Young Adult patrollers (age 15 through high school graudation) must meet the same requirements and fulfill the same patroller training and responsibilities as any other member of the patrol with the same skill set.
 
 
 
 NSP Young Adult programs at the local level must be conducted in accordance with applicable federal, state, and local laws, school district policies and procedures, and the ski area's rules and regulations. Division legal counsel should be engaged to help identify and interpret the effects of these regulations on young adult programs. The NSP imposes no limitation on Young Adult patrollers' activities that are not common to all who participate in NSP programs.","133 South Van Gordon Street, Suite 100, Lakewood, CO 80228",http://www.nsp.org/about/programs.aspx,80228,Environment,,
Northwest Organization for Animal Help - N.O.A.H.,14,"We assist animals in the most desperate need of help - the animals that have run out of time at other shelters and are facing death. By working cooperatively with area animal shelters and only accepting pets directly from their facilities, we give animals on death-row another chance at life at our no-kill adoption center.","31300 Brandstrom, Stanwood, WA 98292",http://www.thenoahcenter.org,98292,Environment,,
Overland Service Program,13,"At its heart, this is the Overland experience: a small group of students with inspiring leadership, engaged in a carefully crafted challenge that captures their imagination, stretches their abilities and strengthens their bonds with each other. We place a premium on selflessness, consideration for others and teamwork. In so doing, we catalyze in our students an understanding of the world beyond themselves, beyond their own needs and wants—and we do this while showing them how beautiful and exciting, how full of promise the world is. Overland is not simply a summer experience—it's a life experience with value and resonance that extends far beyond the boundaries of a single summer.","P.O. Box 31, Williamstown, MA 01267",http://www.overlandsummers.com,1267,Environment,,
Pasado's  Safe Haven,14,Pasado’s Safe Haven’s mission is to end animal cruelty and create a more compassionate world.,"10131 Woods Lake Road Monroe, WA 98272",https://www.pasadosafehaven.org/,98272,Environment,,
People for Puget Sound - Washington Environmental Council,13,"Our mission is a clean and healthy Sound teeming with fish and wildlife. We will accomplish this by:
 Eliminating contamination of the Sound and Straits
 Halting the destruction of natural habitats and restoring those habitats to health
 Sustaining the Sound and Straits as a healthy source of people's livelihood, enjoyment and renewal
 Our vision is a clean and healthy Sound cared for by people who live here. We will save our Sound by:
 Educating adults and youth in the science and values of a healthy Sound
 Involving our communities and partners in our shared responsibilities
 Holding ourselves and public officials accountable for carrying out commitments and enforcing laws and regulations","1402 Third ave, Suite 1400, Seattle, WA 98101",http://pugetsound.org,98104,Environment,,
Puget Sound Beekeepers Association,10,"Puget Sound Beekeepers Association (PSBA) was founded in 1948 and exists to promote common interest and general welfare of beekeeping, to protect honey bees, to educate beekeepers, encourage good bee management practices, and to encourage good relations between beekeepers and the public.",Graham Visitors Center at the Washington Park Arboretum,https://www.pugetsoundbees.org/volunteer-at-psba/,N/A,Environment,,
Purrfect Pals,16,"The mission of Purrfect Pals is to promote the health and welfare of cats and kittens in the Puget Sound region through responsible adoptions, spay/neuter surgeries and education. We also provide sanctuary for those less-than-adoptable cats to live out their lives in a safe environment. This mission is inherent in all of the work that we do.","Shelter Location
 230 McRae Rd NE, Arlington, WA 98223",http://www.purrfectpals.org/VolunteerAndFoster/VolunteerProgram/VolunteerMain.asp,98223,Environment,,
Putney Student Travel,13,"Putney Student Travel's mission is to inspire, challenge, and support young leaders through travel, cultural immersion, friendships, and fun so that they are poised to act justly in a global world.","345 Hickory Ridge Road , Putney VT 05346",http://www.goputney.com,5346,Environment,,
Rustic Pathways,13,"Rustic Pathways is committed to providing high-quality community service programs that enrich the hearts and minds of our students and offer tangible benefits to the communities we serve. We offer service trips throughout the year and a broad range of both environmentally based and human based service projects across our global network. Our primary goal is to meet the needs of the local people we serve while enriching the lives and broadening the perspectives of our own students. Rustic Pathways’ summer programs are designed for positive, level-headed students with a keen interest in experiential learning and international travel. We offer summer programs for students ages 12-18, programs during the academic year for Gap Year students, and customized programs for individuals, families, and both student and adult groups throughout most of the year in the United States, Australia, Thailand, The Fiji Islands, New Zealand, Vietnam, India, Africa, China, Costa Rica, , Panama, Mongolia, Cambodia, Laos, Burma, and Peru.","34900 Chardon Road 
 Building 1, Suite #205 
 Willoughby Hills, OH 44094",http://www.rusticpathways.com,44094,Environment,Human Dignity,
Seattle Area Feline Rescue (Animal Talk),16,"Seattle Area Feline Rescue is located on the border of Seattle and Shoreline, at 14717 Aurora Ave. N, Shoreline, WA 98133. We are a non-profit, no-kill rescue, 501c3 #91-2041961. SAFe Rescue takes in homeless cats and kittens, gives them the care they need to recover, and finds them loving homes. ","14717 Aurora Ave N , Shoreline, WA 98133",http://www.seattleareafelinerescue.org/,98133,Environment,,
Seattle Audubon Society,13,"Seattle Audubon leads a local community in appreciating, understanding, and protecting birds and their natural habitats. Seattle Audubon envisions a healthy environment in balance with nature, where people enjoy, respect, and care for the natural resources that sustain the community of life. They initiate, encourage, manage and coordinate science-based projects to provide a scientific basis and analysis of advocacy initiatives, positions, and legal proceedings.","8050 35th Ave. NE. Seattle, WA 98115",http://www.seattleaudubon.org,98115,Environment,Civic,
Seattle Department of Parks and Recreation - Bitter Lake Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation promotes healthy people, a healthy environment, and strong communities. Local community center providing day camp and activities during the summer.","13035 Linden Ave. North, Seattle, WA 98133",http://www.seattle.gov/parks/Centers/bitterlk.htm,98133,Environment,,Family
Seattle Department of Parks and Recreation - Carkeek Park,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. This popular park offers extraordinary views of Puget Sound and the Olympic Mountains. Explore the secrets of this northwest Seattle watershed, nine miles from downtown. Here, 220 acres of lush forest, meadows, wetlands, creeks, and beach are formed by the magic of water and time. Come take part in an education program, have a picnic, or get involved as a volunteer teacher or as part of an outdoor work party. ","950 NW Carkeek Park Rd., Seattle, Wa 98177",http://www.seattle.gov/parks/volunteers/default.htm,98177,Environment,K-12 Education,Family
Seattle Department of Parks and Recreation - Discovery Park Nature Daycamp & Jr. Naturalist Program,13,"Discovery Park is a 534 acre natural area park operated by the Seattle Parks and Recreation. It is the largest city park in Seattle, and occupies most of the former Fort Lawton site. The site is one of breathtaking majesty. The secluded site includes two miles of protected tidal beaches as well as open meadow lands, dramatic sea cliffs, forest groves, active sand dunes, thickets and streams. The role of Discovery Park is to provide an open space of quiet and tranquility away from the stress and activity of the city, a sanctuary for wildlife, as well as an outdoor classroom for people to learn about the natural world. Maintained in its semi-natural condition the park will continue to offer a biologically rich and diverse natural area for urban dwellers and an unmatched opportunity for environmental education.","3801 Discovery Park Blvd., Seattle, WA 98199",http://www.seattle.gov/parks/volunteers/default.htm,98199,Environment,,Family
Seattle Department of Parks and Recreation - Dr Jose Rizal Park,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation promotes healthy people, a healthy environment, and strong communities.  The site of Dr. Jose Rizal Park is a favorite gathering and picnic spot for members of the Filipino community. The meadow slope site was transferred to the parks Department in 1971, and was named after Dr. Jose Rizal three years later. ","1007 12th Ave. S, Seattle, WA 98144",http://www.seattle.gov/parks/park_detail.asp?id=433,98144,Environment,,Family
Seattle Department of Parks and Recreation - Garfield Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Located in Seattle's Central District, we offer a wide array of programs and special events.","2323 East Cherry St.
 
 Seattle, WA 98122",http://www.seattle.gov/parks/centers/garfieldcc.htm,98122,Environment,,Family
Seattle Department of Parks and Recreation - High Point Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation Community Center. Teen Center, Day Care, After School program serving residents of West Seattle. Sports, tutoring, movie nights, and special events.","6920 34th Ave SW
 
 Seattle, WA 98126",http://www.seattle.gov/parks/centers/Highpt.htm,98126,Environment,,Family
Seattle Department of Parks and Recreation - International District/Chinatown Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. This exciting new center, located in the International District/Chinatown, offers a wide array of programs and special events.","719 8th Avenue South
 
 Seattle, WA 98104",http://www.volunteersolutions.org/uwkc/org/5807302.html,98104,Environment,,Family
Seattle Department of Parks and Recreation - Jefferson Park,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation Community Center. Teen Center, Day Care, After School program serving residents of South Seattle. Students can help with sports teams, tutoring, movie nights, and special events.","3801 Beacon Ave S
 
 Seattle, WA 98108",http://www.seattle.gov/parks/centers/jeffercc.htm,98108,Environment,K-12 Education,Family
Seattle Department of Parks and Recreation - Laurelhurst Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Located in the Laurelhurst/Sandpoint area in north Seattle, they colloborate with other north east centers (Magnuson, Meadowbrook, Northgatte and Ravenna-Eckstein) on programing for the community.","4554 NE 41st St.
 
 Seattle, WA 98105",http://www.seattle.gov/parks/volunteers/default.htm,98105,Environment,K-12 Education,Family
Seattle Department of Parks and Recreation - Magnolia Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Located in Magnolia, this community center is the hub of it's hill with little competition for programs. It has heavy use from the community and the surrounding schools. The many community events incloude Valentine's day cookie decorating, drop in basketball, volleyball, toddler open gym, licensed school-age care and more.","2550 34th Ave. W.
 
 Seattle, WA 98199",http://www.seattle.gov/parks/centers/magnoliacc.htm,98199,Environment,Safety,Family
Seattle Department of Parks and Recreation - Meadowbrook Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation promotes healthy people, a healthy environment, and strong communities.","10517 35th Ave NE
 
 Seattle WA 98125",http://www.seattle.gov/parks/centers/meadowbrookcc.htm,98125,Environment,Health,
Seattle Department of Parks and Recreation - Northacres Park,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Northacres Park is located between N 130th and the Freeway. It's surrounded with a forest of fir and contains a small forest behind picnic area. Facilities include 2 ballfields, a play area for children, a dog off-leash area, and a wading pool. Acreage: 20.7","12718 1st Ave NE
 
 Seattle, WA 98125",http://www.seattle.gov/parks/park_detail.asp?ID=361,98125,Environment,Safety,
Seattle Department of Parks and Recreation - Northgate Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Located just two blocks south of Northgate Beach Park, Northgate Community Center offers a wide array of programs and special events.","10510 5th Ave NE, 98125",http://www.seattle.gov/parks/centers/northgate.htm,98125,Environment,K-12 Education,Safety
Seattle Department of Parks and Recreation - Yesler Community Center,13,"Seattle Parks and Recreation will work with all citizens to be good stewards of our environment, and to provide safe and welcoming opportunities to play, learn, contemplate, and build community. Seattle Parks and Recreation Community Center. Teen Center, Day Care, After School program serving residents of the central area including Yesler Terrace housing project. Students can help with sports teams, tutoring, movie nights, and special events.","835 E Yesler Way
 
 Seattle, WA 98122",http://www.cityofseattle.net/parks/Centers/yeslercc.htm,98122,Environment,,Family
SR3,,Advancing the health and welfare of marine life in the PNW,,,,Environment,,
Stream Team,16,"To provide information, increase community involvement and awareness, and initiate changes that will protect the quality of our water systems and the fish and wildlife habitat. Stream Team volunteers gather important information about Bellevue’s streams, lakes and wetlands and help improve the city’s fish and wildlife habitat in a variety of ways:
 
 Salmon Watcher: monitor local streams for salmon returning in the fall, visiting a site for 15 minutes twice a week from September through December and reporting when, where and what type of salmon are sighted. Attend two-hour workshop in September.
 
 Peamouth Patrol: check local streams for 15 minutes twice a week from mid-April through May. Record spawning times and use of Bellevue streams. Attend one-hour workshop in April.
 
 Earth Day/Arbor Day: Plant native plants near streams and in wetlands.
 
 Collect insect samples from Bellevue streams for water quality monitoring.","450 110th Ave. NE, Bellevue, WA 98009",https://bellevuewa.gov/city-government/departments/utilities/conservation-and-the-environment/protecting-our-waterways/stream-team-volunteer-program,98009,Environment,,
Student Conservation Association (SCA),15,"SCA's mission is to build the next generation of conservation leaders and inspire lifelong stewardship of our environment and communities by engaging young people in hands-on service to the land. The Student Conservation Association (SCA) is America’s conservation corps. Our members protect and restore national parks, marine sanctuaries, cultural landmarks and community green spaces in all 50 states. Tens of thousands of green professionals, from park superintendents to urban planners, can trace their start to SCA. SCA provides college and high school-aged members with hands-on conservation service opportunities in virtually every field imaginable, from tracking grizzlies through the Tetons to restoring desert ecosystems and teaching environmental education at Washington, D.C.’s Urban Tree House. We are truly building the next generation of conservation leaders.","4601 North Firfax Dr, Suite 900, Arlington, Wa 22203",http://www.thesca.org,22203,Environment,,
Sunrise Movement,under 35,We are a movement to stop climate change and create millions of good-paying jobs in the process. ," Sunrise PAC, 50 F Street NW STE #700, Washington, DC 20001",https://www.sunrisemovement.org/,20001,Environment,Civic,
Volunteer Park Trust,12,"""The Volunteer Park Trust was created by citizens to fully realize the dream for Seattle’s crown jewel, Volunteer Park. Our focus is to protect and preserve this treasured city and national landmark for today and for generations to come."" ""Volunteer Park is a green refuge in the heart of diverse and densely populated neighborhoods. It serves as a place of contemplation, celebration, recreation and delight. The Trust’s shared purpose is to preserve and enhance the park for everyone to enjoy: for picnicking, wading, sunbathing and tossing a Frisbee; for enjoying Shakespeare and listening to music; exploring The Seattle Asian Art Museum; lingering in the Conservatory on a gray day; and for so much more.""","1247 15th Ave E, Seattle, WA, 98112",http://www.volunteerparktrust.org/,98112,Environment,,
Volunteers for Outdoor Washington,12,"Our Mission Statement
 
 “Volunteers for Outdoor Washington (VOW) promotes volunteer stewardship of natural resources, trails and other outdoor recreation resources throughout the State of Washington. VOW enables citizens and organizations to participate in trail and recreation development, rehabilitation projects, resource planning and education, and heritage preservation and interpretation. VOW maintains a working relationship with land management agencies to accomplish this end.”
 
 Volunteers for Outdoor Washington (VOW) is a non-profit organization that recruits, organizes and trains volunteers to perform trail construction and maintenance and to restore natural habitat while preserving heritage features in Washington State.","8511 15th Ave #206, Seattle,WA 98115",http://www.trail-stewards.org,98115,Environment,,
Walking Tree Travel,varies on opportunity,"Our mission is to inspire high school-aged students to become global citizens by taking an active interest in the world around them. We hope to achieve this goal by providing unforgettable summer programs filled with challenging and enriching adventures. We have found that our most rewarding travel experiences have been when we felt like active members of a community rather than tourists. For this reason, Walking Tree Travel (Walking Tree) specializes exclusively in service-oriented programs based in communities we know well. This approach allows us to focus all of our energy and expertise on providing the safest, most dynamic experience possible. Our programs are designed for a proactive, select group of youth who are not looking for the typical tourist trip, but rather an opportunity to interact with another culture while forming meaningful relationships that can continue long after they return home. 
 
 Walking Tree blends cultural and language immersion, community service, and adventure to enable young people to see themselves, another culture, and the world in a new and exciting light. Our programs combine living in local communities, excursions to remote beaches, mountain peaks, active volcanoes and hidden waterfalls and work on valuable service projects. We encourage you to spend a portion of your summer with us, opening your heart and mind to an experience you will never forget","PO Box 18636 
 Denver, Colorado 80218",http://walkingtree.org,80218,Environment,Freedom,
Washington Trails Association (WTA),14,"Washington Trails Association is a volunteer-driven nonprofit membership organization working to preserve, enhance, and promote hiking opportunities in Washington state through collaboration, education, advocacy and trail maintenance. History Signpost magazine was first published in 1966 and continues today as Washington Trails. Washington Trails Association (WTA) is the voice for hikers in Washington state. WTA protects hiking trails and wildlands, takes volunteers out to maintain our trails, and promotes hiking as a fun and healthy way for people to explore the outdoors.","705 2nd Avenue, Suite 300Seattle, WA 98104",http://www.wta.org,98104,Environment,,
Water 1st International,13,"We envision a world free of extreme poverty. Providing people with safe water is the first step to ending the cycle of poverty, illness, and death. Water 1st International is a non-profit organization whose stated goal is helping people in poor countries implement water, sanitation and hygiene education projects.Since 2005, the Water 1st community has given $14 million to fund 1,562 water projects, transforming the lives of 140,570 people. Water 1st works in four different countries around the world: Bangladesh, Ethiopia, Honduras and India. So far not a single project out of the 1,562 projects that have been implemented have failed.","1904 3rd Ave #1012, Seattle, WA 98101",www.water1st.org,98101,Environment,Freedom,
Whidbey Animal's Improvement Foundation (WAIF),16,"To help all companion animals in need find loving homes. The Whidbey Animals' Improvement Foundation (WAIF) is a non-profit organization which was formed in 1990 in an effort to help Whidbey Island's homeless companion animals. WAIF is dedicated to provide food, shelter, veterinary care, and nurturing to displaced pets until loving homes can be found for them. WAIF's main objectives are;","60 Rhododendron Park Rd., Coupeville, WA 98239-1108",http://www.waifanimals.org,98239,Environment,,
Woodland Park Zoo,16,"Woodland Park Zoo saves animals and their habitats through conservation leadership and engaging experiences, inspiring people to learn, care and act. Woodland Park Zoo is a multi-award winning zoological park and botanical gardens encompassing 92 acres located just 10 minutes north of downtown Seattle in the Phinney Ridge neighborhood. The zoo, formed in 1899, is renowned for its naturalistic animal exhibits which incorporate the many elements of nature mimicking the actual habitats of hundreds of animal species around the globe. More than 65 acres of exhibits with nearly 1,100 animals representing nearly 300 species and thousands of plants and trees. Our mission focuses on public education about the animals, habitats and ecosystems that are, more than ever, in need of protecting, and the conservation programs that effectively help bring solutions to imperiled wildlife and wild places. We invite you to learn more about our more than two dozen conservation projects that we support when you visit.","5500 Phinney Ave. N., Seattle, WA 98103",http://www.zoo.org,98103,Environment,Environment,
Young Women Empowered  Y-WE,,,,https://youngwomenempowered.org/volunteer/,,Environment,K-12 Education,Safety
Ballard Food Bank,13,The Mission of Ballard Food Bank is to assist individuals and families in maintaining self-sufficiency by providing assistance for basic needs.,"7005 24th Avenue N.W.
Seattle, WA 98117",http://www.ballardfoodbank.org,98117,Food,,
Community Lunch on Capitol Hill,13,"By sharing lunch together twice a week, we create community. Community Lunch on Capitol Hill provides hot, nutritious meals and survival services to those experiencing homelessness and low-income people in Seattle. Our meal program serves four meals a week: lunch on Tuesday and Friday, and supper on Wednesday and Thursday. Our meals are open to all in a warm, welcoming environment. No sign-in is ever required to eat with us. We are open for meals during the holidays and in inclement weather.","Central Lutheren Church, 1710 11th Ave , Seattle, WA 98122",http://www.communitylunch.org,98122,Food,Housing Services,
Family Works (N.45th),13,"FamilyWorks, a food bank and family center, nourishes and strengthens individuals and families by connecting people with support, resources and community.","1501 N. 45th St., Seattle, WA 98103
 PO Box 31151
 Seattle, WA 98103",http://www.familyworksseattle.org/volunteer-landing,98103,Food,,
Food Bank @ St. Mary's,13,"Since the 1940s, The Food Bank at St. Mary's has been supporting Seattle and the surrounding community with hospitality, respect, and nutritious food. In 2018 alone, the Food Bank at St. Mary's distributed over 3 milliion pouds of food by: serving an average of 18, 406 clients each month, feeding 1,400 school-age children each month, recording 28, 879 hours of volunteer time","The Food Bank @ St. Mary’s Church ,611-20th Avenue S. , Seattle, WA 98144",https://www.thefbsm.org/,98144,Food,,
Food Lifeline,9,"Our mission is to end hunger in Western Washington by engaging communities and mobilizing resources. Food Lifeline is a nonprofit organization dedicated to ending hunger in Western Washington supplying food to over 250 food banks, meal programs and shelters. Food Lifeline makes every penny count, and 94% of the food we receive from local, state and national contributors is donated. Food Lifeline provides a creative link between food sources and hungry people. We encourage the food industry to donate unmarketable but usable food that would otherwise be discarded. Local restaurants and caterers contribute prepared food through our award-winning Seattle's Table program, and fresh produce is collected from wholesalers and retailers through our Produce for the People program. Local grocery retailers also donate a variety of nutritious products like meat, dairy, fresh produce and baked goods through our Grocery Rescue program.","815 South 96th Street, Seattle, WA 98108",https://foodlifeline.org/how-to-help/volunteer,98108,Food,,
Forgotten Children's Fund,10,"The Forgotten Children's Fund is an all volunteer organization that works to give underprivileged children and their families a truly Merry Christmas. With the support of our Seattle community we are able to purchase, wrap, and have Santa and his Elves deliver gifts every year. Families are selected on the basis of need and are typically not assisted by other public or charitable organizations. We take great care to learn the children’s names, ages, clothing sizes and any special needs they may have. In some cases, help extends beyond gifts to include donations of groceries or help making basic payments such as a utility bill. The FCF currently operates in King County, Lewis County, North Counties (including Skagit, Island, Snohomish and Whatcom Counties) and Chelan Counties of Washington State.","19027 72nd Ave. S., Kent, WA 98032",http://www.forgottenchildrensfund.org,98032,Food,,
Grameen Foundation,13,"Grameen Foundation's mission is to enable the poor, especially the poorest, to create a world without poverty. With tiny loans, financial services and technology, we help the poor, mostly women, start self-sustaining businesses to escape poverty. We introduced and now sustain technology initiatives (Mifos and Village Phone) in Cameroon, Kenya, Rwanda, and Uganda, bringing our total country outreach to 28. We support microfinance programs that enable the poor, mostly women, to lift themselves out of poverty and make better lives for their families. To do this, we partner with a worldwide network of microfinance institutions. ","2101 4th Avenue, Suite 1550, Seattle, WA 98121",http://www.grameenfoundation.org/,98121,Food,Health,
Issaquah Food Bank,,,,,,Food,,
Lynnwood Food Bank,15,"""Our mission is to assist people who are hungry in the City of Lynnwood and South Snohomish County by providing a highly efficient food distribution center."" The Lynnwood Food Bank is a private nonprofit organization that collects and distributes more than 870,000 pounds of donated food each year to low-income children, adults and seniors.","5320 176th Street Southwest, Lynnwood, WA 98037",www.lynnwoodfoodbank.org,98037,Food,,
North Helpline Food Bank- Lake City,14,"North Helpline Food Bank's mission is to feed the hungry, provide emergency assistance for residents of zip codes 98125, 98133, 98155, 98177, & 98115, and refer people to other agencies for additional services. We are dedicated to improving lives by providing critical services to those in need. North Helpline provides emergency assistance for eviction prevention, utility shut-off, hygiene packs, and transportation assistance for dr. appointments and employment. It is open Tuesday, Wednesday, and Thursdays between the hours of 10:00 AM-2:00 PM. Lake City Food Bank not only provides food but has a baby cupboard, transportation assistance, and a nurse who does free blood pressure and health screenings. The food bank is open Saturdays for the disabled from 9:30AM - 11:30AM, and for the general public from 12:00PM - 2:00PM.  Our Baby Cupboard is open once a month, on the first Saturday. We provide assistance for families with children under two years, including rice cereal, formula, diapers, and baby food.","12707 30th AVE NE, Seattle, WA 98125",http://www.northhelpline.org/,98125,Food,,
Northwest Harvest,16,"The mission of Northwest Harvest is to provide nutritious food to hungry people statewide in a manner that respects their dignity, while fighting to eliminate hunger. Our vision is ample nutritious food is available to everyone in Washington State. Northwest Harvest is the only non-profit food bank distributor operating statewide in Washington with a network of over 325 food banks, meal programs and high-need schools.  With distribution centers in western, eastern, coastal and central Washington, Northwest Harvest reaches rural communities where people in need would otherwise go hungry. We require that Northwest Harvest food be given freely to anyone hungry enough to ask, respecting their dignity while serving their need. For 43 years we’ve been committed to lifting up the voices of those in need across the state and we are doing more than ever before.","Kent Warehouse 22220 68th Ave S., Kent, WA 98032",http://www.northwestharvest.org,98132,Food,,
Operation: Sack Lunch,13,"To provide dignity, care and compassion through action with the example that each person can make a difference. To educate and advocate acceptance and understanding of each others' differnces. To ultimately bring about the realization that we are all a part of this world and with extended effort put an end to homelessness, hunger and hatred. Sack Lunch is a unique provider. The people we serve are unable to access food in more conventional ways. We are the last line of defense for those in the homeless community living directly on the streets. For many we are the last place they can find a decent meal, for the rest we are the only way to ward off starvation. We are the in-house provider for the Compass Center providing breakfast and a midday meal as well as providing sack lunches for, Hammond House Women's Overnight Shelter, First Church Men's Emergency Shelter, PSKS(peace on the streets by kids from the streets) an advocacy program for homeless teenagers and young adults,and the Seattle Municlpal Community Court Program. Over the years we have provided meals for First Place School for homeless children,Tent City, Gethsemane Crisis Center, Labor Ready of Seattle, and Angeline's(a day shelter for women).","Compass Housing Alliance, 77 S.Washngton St, Seattle, Wa 98104",http://www.opsacklunch.org/,98104,Food,,
Orion Youth Care,16,"YouthCare serves youth and their families who are experiencing alienation, conflict, and homelessness. By developing resiliency, we create opportunities for success. YouthCare builds confidence and self-sufficiency for homeless youth by providing a continuum of care that includes outreach, basic services, emergency shelter, housing, counseling, education, and employment training. The Orion Center, located at 1828 Yale Ave. in downtown Seattle, is a multi-service facility open to youth ages 13 to 21. It offers a safe, open place where youth can access a multitude of services, from meals to case management. The Orion Center’s services include the Drop-In Center with showers, lockers, laundry and meals; Case Management; HIV Case Management; Street Outreach; the Orion Interagency School; the Working Zone pre-employment training program; and the Barista Training and Education Program.","1828 Yale Ave., Seattle, WA 98101",http://www.youthcare.org/,98101,Food,Housing Services,
Phinney Neighborhood Association,varies on opportunity,"Since 1980, the Phinney Neighborhood Association has invested time and money in building and strengthening our neighborhood by providing and promoting a variety of programs and activities aimed at connecting neighbors and fostering involvement in our community. Over the years, thousands of neighbors, near and far, have joined in these efforts creating a unique neighborhood center that is home to countless events, classes, community meetings, preschool and childcare resources, a tool lending library, soup kitchens, a senior center and an art gallery. A multi-purpose neighborhood center serving the Phinney Ridge/Ballard areas of Seattle. Activities for families, maintaining a park, providing before and after school care, operating a good bank, Tuesday night soup kitchen, and various holiday celebrations.","6532 Phinney Ave N., Seattle WA 98103",http://www.phinneycenter.org,98103,Food,,Housing Services
